,description,link,location,phone,service_name,va_facility
1957,"Speech Pathology services include language, voice, and hearing aid treatments.",/Services/SpeechPathology.asp,"Building 17, 4th floor",717-272-6621 Ext. 4582  800-409-8771 Ext. 4582,Speech Pathology,www.lebanon
1958,Spinal Cord Injury Program,/Services/SpinalCordInjury.asp,"Building 17, 4th floor",717-272-6621 Ext. 4539  800-409-8771 Ext. 4539,Spinal Cord Injury Program,www.lebanon
1959,Substance Abuse Rehab Therapy Program-SARRTP,/Services/SubstanceAbuseRehabTherapyProgram_SARRTP.asp,"Building 18, 2nd floor, B side",717-272-6621 Ext. 4235  800-409-8771 Ext. 4235,Substance Abuse Rehab Therapy Program (SARRTP),www.lebanon
1960,1-800-273-8255,/Services/SuicidePrevention.asp,"Building 18, 3rd floor, room 305",800-273-8255  717-228-3572,Suicide Prevention,www.lebanon
1961,A vast array of surgical services are offered at the Lebanon VA Medical Center.,/Services/SurgicalServices.asp,"Building 17, 4th Floor, B side",717-272-6621 Ext. 5953  800-409-8771 Ext. 5953,Surgical Services,www.lebanon
1962,Telehealth is an alternative care method utilizing electronic methodologies.,/Services/Telehealth.asp,N/A,717-272-6621 Ext. 4076  800-409-8771 Ext. 4076,Telehealth,www.lebanon
1963,Travel Benefits,/Services/TravelBenefits.asp,Building 17 Room 103,717-272-6621 Ext. 6032  800-409-8771 Ext. 6032,Travel Benefits,www.lebanon
1964,Veterans Affairs Employee Association is available to all current and retired employees.,/Services/VAEA.asp,"Building 18, 3rd floor, room 319",717-272-6621 Ext. 4565,VAEA,www.lebanon
1965,The Veterans Activity Center is open to all Veterans as a place to socialize and relax between activities and clinic appointments.,/Services/VeteransActivityCenter.asp,"Building 18, 1st floor, room 128",717-272-6621 Ext. 4555  800-409-8771 Ext. 4555,Veterans Activity Center,www.lebanon
1966,Veterans Benefit Counselor,/Services/VeteransBenefitCounselor.asp,"Building 17, Room 110",717-228-6088  717-272-6621 Ext. 6088,Veterans Benefit Counselor,www.lebanon
1967,The VISOR program assists patients with vision issues.,/Services/Visor.asp,"Building 18, 5th floor",717-272-6621 Ext. 4940  800-409-8771 Ext. 4940,Visor,www.lebanon
1968,The Vocational Rehab Unit provides treatment and rehabilitation.,/Services/VocationalRehabilitation.asp,Building 23,717-272-6621 Ext. 4261  800-409-8771 Ext. 4261,Vocational Rehabilitation Unit,www.lebanon
1969,A wide array of womens services are available.,/Services/WomenVeterans.asp,"Building 17, 5th floor",717-228-4870 Ext. 4870  800-409-8771 Ext. 4870,Women Veterans,www.lebanon
1970,Our Compensated Work Therapy (CWT) program strives to match and support work ready veterans in competitive jobs.,/services/Compensated_Work_Therapy.asp,Lexington VA Medical Center,859-233-4511 Ext. 3289,Compensated Work Therapy,www.lexington
1971,The Enhanced RANGE Program provides case management with an emphasis on recovery for rural Veterans with serious mental illness who are at risk of homelessness.,/services/Enhanced_RANGE_Program.asp,Lexington VA Medical Center,859-233-4511 Ext. 3176,Enhanced RANGE Program,www.lexington
1972,Former POWs receive special priority for health care in VA hospitals and clinics.,/services/Former_Prisoners_of_War_Program.asp,Lexington VA Medical Center,859-233-4511 Ext. 3953,Former Prisoners of War Program,www.lexington
1973,"Care for people facing a life limiting illness or injury, with a team approach to medical care, pain management, and emotional support tailored to the patient's needs.",/services/Hospice_and_Palliative_Care.asp,Lexington VA Medical Center,859-233-4511 Ext. 4116,Hospice and Palliative Care,www.lexington
1974,Our Chaplains are caring listeners trained to address the special needs of veterans and their families.,/services/Pastoral_Care.asp,Lexington VA Medical Center,859-281-4910,Pastoral Care,www.lexington
1975,"Prescriptions may be refilled by mail, phone, or online.",/services/pharmacy.asp,"Lexington VA Medical Center1101 Veterans DriveLexington, KY 40502-2236",859-281-4811  888-889-5962,Pharmacy,www.lexington
1976,Lexington's Polytrauma Service is designed to provide long-term rehabilitative care to veterans who experienced severe injuries to more than one organ system.,/services/Polytrauma_Care.asp,Lexington VA Medical Center,859-281-3846,Polytrauma Care,www.lexington
1977,"Respiratory therapists provide treatment, assessment, monitoring, and management of breathing disorders and cardiovascular problems.",/services/Respiratory_Care.asp,Lexington VA Medical Center,859-233-4511,Respiratory Care,www.lexington
1978,Audiology and Speech Pathology is dedicated to Veterans audiology and speech special needs.,/services/About_Audiology_and_Speech_Pathology.asp,"John L. McClellan Memorial VA Medical Center , LR Room 1C138Eugene J. Tobin HealthCare North Little Rock Campus Building 111, Room 24Eugene J. Tobin HealthCare North Little Rock Campus, Building 170, Room 3D-124",501-257-5250  501-257-1085,Audiology and Speech Pathology,www.littlerock
1979,VA offers a number of services Whether you and the Veteran you care for could use some help at home or you just need someone to listen,/services/Caregiver_Support.asp,"Eugene J. Towbin Healthcare Center 2200 Fort Roots Drive, North Little Rock, AR 72114",501-257-2123,Caregiver Support,www.littlerock
1980,HPDP focuses on promoting Veteran health,/services/Health_Promotion_and_Disease_Prevention.asp,"Eugene J. Towbin Healthcare Center - Bldg 68, Room 138",501-257-2651,Health Promotion and Disease Prevention,www.littlerock
1981,"Geriatric Research, Education, and Clinical Center supporting Veterans and there needs",/services/Little_Rock_GRECC_Geriatric_Research_Education_and_Clinical_Center.asp,Towbin Healthcare Center - North Little Rock DivisionJohn L. McClellan Memorial Veterans Hospital - Little Rock Division,501-257-2561,"Little Rock GRECC - Geriatric Research, Education, and Clinical Center",www.littlerock
1982,The goal of the CAVHS Minority Veterans Program is to increase local awareness of Minority Veterans issues,/services/Minority_Veterans_Program.asp,"1000 S Main, Rm 120 Little Rock, AR 72201",501-244-1772,Minority Veterans Program,www.littlerock
1983,"The department of Physical Medicine and Rehabilitation PMRS strives to provide professional treatment services, manages disorders that alter function and performance",/services/Physical_Medicine_and_Rehabilitation_Service.asp,Eugene Towbin Healthcare Center Ward 3CJohn L. McClellan Memorial VA Medical Center,501-257-6414  501-257-2990,PMRS,www.littlerock
1984,"Patient Advocates care about services you receive while in the Medical Center provides. let us know of any concerns, complaints, or questions you have",/services/Patient_Service.asp,"John L. McClellan Memorial Veterans Hospital Pateint Care Service 2nd Floor, Rm 2D-147Eugene J. Towbin Healthcare Center Bld 170, 1st Floor, Rm 1E107 or 2nd Floor, Rm 2F-120",501-257-5410,Patient Service,www.littlerock
1985,An automated refill line is available for all Central Arkansas Veterans Healthcare System patients.,/services/Pharmacy.asp,Automated Refill Line,501-257-1549,Pharmacy,www.littlerock
1986,"The department of Physical Medicine and Rehabilitation PMRS strives to provide professional treatment services, manages disorders that alter function and performance",/services/Physical_Medicine_and_Rehabilitation_Service.asp,Eugene Towbin Healthcare Center Ward 3CJohn L. McClellan Memorial VA Medical Center,501-257-6414  501-257-2990,Physical Medicine and Rehabilitation Service,www.littlerock
1987,CAVHS Healthcare System Visual Impairment Services Team Program helps legally blind veterans,/services/Visual_Impairment_Service_Team_VIST_Program.asp,John L. McClellan Little Rock room 1E123,501-257-5050,Visual Impairment Service Team (VIST) Program,www.littlerock
1988,Vocational Rehabilitation Counseling Services helps Veterans work toward developing a healthy vocational life,/services/Vocational_Rehabilitation_Counseling_Service_Programs.asp,Eugene J. Towbin Healthcare Center - North Little Rock Bldg 89,501-257-1667,Vocational Rehabilitation Counseling Service Programs,www.littlerock
1989,"Designed to provide high quality, compassionate and comprehensive health care to women.",/services/Women_Veterans.asp,John L McClellan Memorial Hospital Little Rock Campus 1ST FLOOR,501-257-6725,Women Veterans,www.littlerock
1990,"Designed to provide high quality, compassionate and comprehensive health care to women.",/services/Women_Veterans.asp,John L McClellan Memorial Hospital Little Rock Campus 1ST FLOOR,501-257-6725,Women Veterans,www.littlerock
1991,The Addiction Treatment Unit (ATU) provides an opportunity for recovery to Veterans who have problems with alcohol or drugs.,/services/atu.asp,2NW,909-825-7084 Ext. 6909,Alcohol and Drug Treatment Program,www.lomalinda
1992,Audiology and Speech Pathology services provide comprehensive assessment and treatment.,/services/Audiology.asp,VA Loma Linda Medical CenterBuilding 30,909-825-7084 Ext. 7299,Audiology,www.lomalinda
1993,"The VA Loma Linda Behavioral Health Care Services provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/mentalhealth.asp,2NW,909-583-6907,Behavioral Medicine,www.lomalinda
1994,The mission of the Cancer Center is to improve the quality of care of patients with cancer.,/services/Cancer_Center.asp,4SE,909-825-7084 Ext. 4538,Cancer Center,www.lomalinda
1995,"Provides emotional and spiritual support to veterans, their significant others and staff.",/services/chaplain.asp,1F-34A,909-583-6010,Chaplain Service,www.lomalinda
1996,Dental Service provides multi-speciality care to Veterans who meet eligibility requirements.,/services/dental.asp,2F-10,909-583-6127,Dental Service,www.lomalinda
1997,Our goal is to help older Veterans lead healthier and more satisfying lives.,/services/geriatric_clinic.asp,"25828 Redlands Blvd.Redlands, CA 92374",909-583-6969,Geriatric Evaluation and Management Clinic,www.lomalinda
1998,Our Health Promotion and Disease Prevention (HPDP) Program provides Veterans with comprehensive health education.,/services/health_promotion.asp,VA Loma Linda Medical Center,909-825-7084 Ext. 2314,Health Promotion,www.lomalinda
1999,Providing health care to Veterans.,/services/LGBT.asp,VA Loma Linda Medical Center,909-825-7084,"Lesbian, Gay, Bisexual and Transgender Veterans",www.lomalinda
2000,The Military Sexual Trauma Program at the Loma Linda VA Medical Center provides Behavioral Health Services.,/services/trauma.asp,BHIP 2A-17,909-825-7084 Ext. 2595,Military Sexual Trauma,www.lomalinda
2001,VA Loma Linda Healthcare System (VALLHS) is dedicated to ensuring all Veterans are treated fairly.,/services/Minority_Veterans.asp,VA Loma Linda Medical Center,909-825-7084 Ext. 1796,Minority Veterans,www.lomalinda
2002,Providing services to former Prisoners of War (POWs).,/services/POW.asp,VA Loma Linda Medical CenterSocial Work Service2B-147,909-801-5745,POW,www.lomalinda
2003,All Veterans are encouraged to refill their prescriptions by phone or Internet.,/services/pharmacy.asp,1C-25,909-825-7084 Ext. 3259  909-777-3259,Pharmacy,www.lomalinda
2004,Prosthetics Service is here to assist our Veterans.,/services/prosthetic.asp,"1790 Park Ave., Suite 100Redlands, CA 92373",909-583-6118  909-801-5989,Prosthetic Service,www.lomalinda
2005,Social Work Section provides a wide range of clinical and administrative services to Veterans and their families.,/services/socialwork.asp,2E-24A,909-583-6071,Social Work Service,www.lomalinda
2006,Audiology and Speech Pathology services provide comprehensive assessment and treatment.,/services/Audiology.asp,VA Loma Linda Medical CenterBuilding 30,909-825-7084 Ext. 7299,Speech Pathology,www.lomalinda
2007,All eligible veterans who want to stop using tobacco/smoking.,/services/smoking.asp,Medical Center Chapel,909-825-7084 Ext. 1869,Stop Smoking Classes,www.lomalinda
2008,This program is for Veterans to be part of a group that is facilitated by other Veterans.,/services/vettovet.asp,VA Loma Linda Medical Center,909-825-7084 Ext. 3362  909-825-7084 Ext. 1081,Vet to Vet Program,www.lomalinda
2009,We provide outreach services to eligible Veterans who find themselves in contact with the justice system.,/services/justice.asp,"11165 Moutain View AveLoma Linda, CA 92354",909-825-7084 Ext. 5018,Veterans Justice Outreach,www.lomalinda
2010,Virtual Lifetime Electronic Record,/services/VLER.asp,VA Loma Healthcare System,909-825-7084,Virtual Lifetime Electronic Record,www.lomalinda
2011,We are committed to providing comprehensive vision rehabilitation services tailored to meet the Veterans individual needs and goals.,/services/BlindRehabilitationCenter.asp,"5901 East 7th Street, Long Beach, Ca. 90822Building 166",562-826-8000 Ext. 5696  562-826-8000 Ext. 6037,Blind Rehabilitation Center,www.longbeach
2012,Contact Radiology to schedule an appointment,/services/Bone_Density_Scan.asp,"BLDG 126, RADIOLOGY FIRST FLOOR NEXT TO TOWER ELEVATOR",562-826-5657,Bone Density Scan,www.longbeach
2013,CT scans,/services/Computer_Teomography_CT.asp,"Bldg. 126, 1st floor next to tower elevators",562-826-5657,CT Scans,www.longbeach
2014,Cardiology,/services/Cardiology.asp,"Bldg 1 3rd floor, Bldg 126 10th floor",562-826-8000 Ext. 5486,Cardiology,www.longbeach
2015,Chaplain and Religious Services,/services/Chaplain_and_Religious_Services.asp,"Bldg 2, 2nd floor, Room 244",562-826-5418,Chaplain and Religious Services,www.longbeach
2016,walk in clinic no appointments needed,/services/General_Diagnostic.asp,"BLDG 126, RADIOLOGY FIRST FLOOR NEXT TO TOWER ELEVATOR",562-826-5657,General Diagnostic,www.longbeach
2017,"By appointment only, contact MRI to schedule your appointment between 8 a.m. - 4 p.m.",/services/Magentic_Resonance_Imaging_MRI.asp,Bldg. 160,562-826-8000 Ext. 5798,Magentic Resonance Imaging (MRI),www.longbeach
2018,"The Mamography Clinic is walk-in, no appointments are needed.",/services/Mamography.asp,"Bldg. 126, Radiology, 1st Floor, next to Elevators",562-826-5657,Mamography,www.longbeach
2019,The Mental Health Care Group provides comprehensive and integrated mental health services to veterans served by the VA Long Beach Healthcare System VALBHS.,/services/Mental_Health.asp,"VA Long Beach, Building 1, S101Clinics",562-826-8000 Ext. 2304,Mental Health,www.longbeach
2020,You do not need to have a VA disability rating - be service connected - to receive MST counseling.,/services/mst.asp,"VA Long Beach5901 E. Seventh St.Long Beach, CA 90822",562-826-8000 Ext. 6381,Military Sexual Trauma Counseling,www.longbeach
2021,"My HealtheVet is designed to help improve your health care by providing one-stop, online access to better manage your overall health, and make informed health decisions.",/services/My_HealtheVet.asp,Bldg. 8Room 101,562-826-8000 Ext. 7352  877-327-0022,My HealtheVet,www.longbeach
2022,We consider it a privilege to provide the best healthcare possible to the men and women who have dedicated their lives in service to our country,/services/pharmacy.asp,"Building 164, 1st Floor",562-826-5144,Pharmacy,www.longbeach
2023,Primary Care Health Care Group is a fully integrated group using an interdisciplinary team approach to provide the continuum of care for Veterans.,/services/primary.asp,Long Beach VA Medical CenterBldg. 1642nd and 3rd floor,562-826-8000 Ext. 5144  562-826-8000 Ext. 5151,Primary Care Health Care Group,www.longbeach
2024,"The Speech Pathology Department provides assessment and intervention for a variety of speech, language, voice, cognitive, and swallowing disorders.",/services/Speech_Pathology.asp,"Building 1, Room S102",526-826-5415,Speech Pathology,www.longbeach
2025,"The Spinal Cord Injury and Disorders Health Care Group has a long history of excellence in the provision of specialty care, education, and research.",/services/Spinal_Cord_Injury_SCI.asp,VA Long Beach Building 150,562-826-5701,Spinal Cord Injury (SCI),www.longbeach
2026,Ultrasound,/services/Ultrasound.asp,"Bldg. 126, first floor next to tower elevators",562-826-5657,Ultrasound,www.longbeach
2027,The Comprehensive Mesothelioma Treatment and Research Center at West LA offers consultative and treatment services for all Veterans with suspected/diagnosed mesothelioma.,/services/Mesothelioma.asp,West Los Angeles VA Medical CenterBuilding 500Room 6601,310-268-4543,Asbestos Cancer,www.losangeles
2028,The Comprehensive Mesothelioma Treatment and Research Center at West LA offers consultative and treatment services for all Veterans with suspected/diagnosed mesothelioma.,/services/Mesothelioma.asp,West Los Angeles VA Medical CenterBuilding 500Room 6601,310-268-4543,Asbestos Lung Cancer,www.losangeles
2029,Patients and families often face ethical concerns when value conflicts arise during the care of a patient. Our staff work with patients to resolve these concerns.,/services/Bioethics_Consultation_Service.asp,VA Greater Los Angeles Healthcare System,213-407-0515,Bioethics Consultation Service,www.losangeles
2030,The Research & Development Department of the VA Greater Los Angeles Healthcare System is one of the largest research programs in the Department of Veterans Affairs.,/services/Cancer_Center_Research.asp,"WLA, Bldg 500, Rm 4237",310-268-4567,Cancer Center Research,www.losangeles
2031,The primary objective of the Chaplain Service is to provide for the spiritual welfare of our patients.,/services/Chaplain_Service.asp,"WLA, Bldg 500, 6th floor west wingSACC, Bldg 24",310-268-3391  818-897-7711 Ext. 9322,Chaplain Service,www.losangeles
2032,"GRECCs are designed to improve Veteran health care & quality of life through advancement of research, education & clinical achievements in geriatrics & gerontology.",/services/grecc.asp,VA West Los Angeles Medical CenterVA Sepulveda Ambulatory Care Center,310-268-4110  818-895-9311,"Geriatric Research, Education and Clinical Center (GRECC)",www.losangeles
2033,The Comprehensive Mesothelioma Treatment and Research Center at West LA offers consultative and treatment services for all Veterans with suspected/diagnosed mesothelioma.,/services/Mesothelioma.asp,West Los Angeles VA Medical CenterBuilding 500Room 6601,310-268-4543,Malignant Pleural Mesothelioma,www.losangeles
2034,The Comprehensive Mesothelioma Treatment and Research Center at West LA offers consultative and treatment services for all Veterans with suspected/diagnosed mesothelioma.,/services/Mesothelioma.asp,West Los Angeles VA Medical CenterBuilding 500Room 6601,310-268-4543,Mesothelioma,www.losangeles
2035,The Comprehensive Mesothelioma Treatment and Research Center at West LA offers consultative and treatment services for all Veterans with suspected/diagnosed mesothelioma.,/services/Mesothelioma.asp,West Los Angeles VA Medical CenterBuilding 500Room 6601,310-268-4543,Mesothelioma Cancer Treatment,www.losangeles
2036,The Comprehensive Mesothelioma Treatment and Research Center at West LA offers consultative and treatment services for all Veterans with suspected/diagnosed mesothelioma.,/services/Mesothelioma.asp,West Los Angeles VA Medical CenterBuilding 500Room 6601,310-268-4543,Mesothelioma Surgery Center,www.losangeles
2037,"My HealtheVet provides one-stop, online access to better manage your overall health, and make informed health decisions.",/services/My_HealtheVet.asp,VA Greater Los Angeles Healthcare System,818-891-7711 Ext. 2176,My HealtheVet,www.losangeles
2038,"The Parkinson's Disease Research, Education, and Clinical Center provides comprehensive care to patients with Parkinson's disease and other movement disorders.",/services/Parkinsons_Disease.asp,VA Greater Los Angeles Healthcare Center,310-478-3711,Parkinson's Disease,www.losangeles
2039,VA Greater Los Angeles Healthcare System pharmacy program description and services offered.,/services/pharmacy.asp,VA Greater Los Angeles Healthcare System,800-952-4852,Pharmacy,www.losangeles
2040,Physical Medicine & Rehabilitation Service (PM&RS) is a support service that provides treatment to a both inpatients and outpatients.,/services/Physical_Medicine_and_Rehabilitation_Service.asp,"WLA, Bldg 500, Rm 1415",310-268-3337,Physical Medicine and Rehabilitation Service,www.losangeles
2041,The Comprehensive Mesothelioma Treatment and Research Center at West LA offers consultative and treatment services for all Veterans with suspected/diagnosed mesothelioma.,/services/Mesothelioma.asp,West Los Angeles VA Medical CenterBuilding 500Room 6601,310-268-4543,Pleural Effusion,www.losangeles
2042,Polytrauma is a team of doctors and staff working together to help Veterans recover from symptoms related to a traumatic brain injury or other complex injuries.,/services/Polytrauma.asp,"WLA, Bldg 304",310-478-3711 Ext. 42647,Polytrauma,www.losangeles
2043,"Social workers provide a holistic, psychosocial approach to working with people in hospitals or clinic settings.",/services/Social_Work.asp,VA West Los Angeles Medical Center,310-268-3385,Social Work,www.losangeles
2044,The Comprehensive Mesothelioma Treatment and Research Center at West LA offers consultative and treatment services for all Veterans with suspected/diagnosed mesothelioma.,/services/Mesothelioma.asp,West Los Angeles VA Medical CenterBuilding 500Room 6601,310-268-4543,Thoracic Medical Oncology,www.losangeles
2045,The Comprehensive Mesothelioma Treatment and Research Center at West LA offers consultative and treatment services for all Veterans with suspected/diagnosed mesothelioma.,/services/Mesothelioma.asp,West Los Angeles VA Medical CenterBuilding 500Room 6601,310-268-4543,Thoracic Oncology,www.losangeles
2046,The Comprehensive Mesothelioma Treatment and Research Center at West LA offers consultative and treatment services for all Veterans with suspected/diagnosed mesothelioma.,/services/Mesothelioma.asp,West Los Angeles VA Medical CenterBuilding 500Room 6601,310-268-4543,Thoracic Radiation Oncology,www.losangeles
2047,The Comprehensive Mesothelioma Treatment and Research Center at West LA offers consultative and treatment services for all Veterans with suspected/diagnosed mesothelioma.,/services/Mesothelioma.asp,West Los Angeles VA Medical CenterBuilding 500Room 6601,310-268-4543,Thoracic Surgery,www.losangeles
2048,"The Robley Rex VAMC Emergency Department has a total of 12,500 square feet, featuring Individual Patient Rooms, providing the best in patient privacy.",/services/Emergency_Department.asp,Building 1 (Main Building),502-287-4000  800-376-8387,Emergency Department,www.louisville
2049,The VA actively reaches out to all former POWs who are not receiving their deserved VA benefits. We will gladly assist any POW with their questions.,/services/Former_Prisoners_of_War_Program.asp,Building 1 (Main Building),502-287-6135,Former Prisoners of War Program,www.louisville
2050,"Compassionate care for people facing a life-limiting illness or injury, hospice and palliative care involve a team-oriented approach.",/services/Hospice_and_Palliative_Care.asp,Building 1 (Main Building),502-287-5995,Hospice and Palliative Care,www.louisville
2051,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/Mental_Health.asp,Building 1 (Main Building),502-287-5915,Mental Health,www.louisville
2052,Our Minority Veterans Program ensures that minority veterans receive benefits and services on par with other veterans.,/services/Minority_Veterans_Program.asp,Building 1 (Main Building),502-287-4000 Ext. 56442,Minority Veterans Program,www.louisville
2053,The nursing service at the Robley Rex VAMC provides quality patient care and promotes wellness.,/services/nursing.asp,Building 1 (Main Building),502-287-4000  800-376-8387,Nursing,www.louisville
2054,"Our pharmacy processes thousands of prescriptions daily. Prescriptions may be refilled by mail, phone, or online.",/services/pharmacy.asp,Building 1 (Main Building),502-287-4211  888-482-5268,Pharmacy,www.louisville
2055,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,/services/Primary_Care.asp,Building 1 (Main Building),502-287-4000  800-376-8387,Primary Care,www.louisville
2056,Our research and development program enhances our ability to provide state-of-the-art medical techniques and treatments to veterans.,/services/research.asp,Building 1 (Main Building),502-287-4000  800-376-8387,Research,www.louisville
2057,Social work is an integral part of health care. Our social work program assists veterans with counseling and community services.,/services/Social_Work.asp,Building 1 (Main Building)Room B703,502-287-6196,Social Work,www.louisville
2058,"Our specialty care program offers all surgical specialties as well as neurology, radiation, oncology, and audiology.",/services/Specialty_Care.asp,Building 1 (Main Building),502-287-4000  800-376-8387,Specialty Care,www.louisville
2059,Our Substance Abuse Residential Rehabilitation Treatment Program (SARRTP) provides veterans with an intensive substance abuse treatment program.,/services/Substance_Abuse.asp,"Building 1 (Main Building)7th Floor, Room A742",502-287-5960,Substance Abuse,www.louisville
2060,The Robley Rex VAMC provides several support group programs for various health topics.,/services/Support_Group.asp,Building 1 (Main Building),502-287-4000  800-376-8387,Support Group,www.louisville
2061,TRICARE is the worldwide health care program for active duty and retired uniformed service members and their families.,/services/TRICARE.asp,VA Medical CenterZorn Avenue CampusRoom B158,502-287-6357,TRICARE,www.louisville
2062,Provides three levels of addiction treatment.,/services/Addiction_Treatment_Program.asp,Building 131,224-610-5790,Addiction Treatment Program,www.lovell.fhcc
2063,"The clinic provides comprehensive assessment and rehabilitation of patients with speech-language, swallowing, hearing and balance disorders.",/services/Audiology.asp,Bldg 133CA,224-610-3759,Audiology / Speech Pathology Clinic,www.lovell.fhcc
2064,Cardiology,/services/Cardiology.asp,"Bldg 133 EF, Second Level",224-610-8206  224-610-8207,Cardiology,www.lovell.fhcc
2065,"Lovell FHCC has a Pastoral Care Department, where military and civilian chaplains provide religious services.",/services/Chaplain_Services.asp,"Bldg. 134, Room C108, Community Living Center3001 Green Bay RoadNorth Chicago, IL 60064",224-610-3715,Chaplain Services,www.lovell.fhcc
2066,FHCC Campus Courtesy Shuttle  and Metra Pick-up,/services/Shuttle_Services.asp,Bldg. 37,224-610-3502,Courtesy Shuttle,www.lovell.fhcc
2067,Dental,/services/Dental.asp,"Bldg. 133 EF, Ground Floor",224-610-3749,Dental,www.lovell.fhcc
2068,Dermatology,/services/Dermatology.asp,Bldg 133 EF Basement,224-610-7042,Dermatology,www.lovell.fhcc
2069,"Ear, Nose, Throat - ENT",/services/Ear_Nose_Throat_ENT.asp,Bldg. 133 EF,224-610-8053  224-610-8054,"Ear, Nose, Throat - ENT",www.lovell.fhcc
2070,"The Emergency Department provides medical services twenty-four hours a day, 7 days a week, 365 days a year.",/services/Emergency_Department.asp,"Building 133, 1st floor",224-610-5505,Emergency Department,www.lovell.fhcc
2071,Endocrine,/services/Endocrine.asp,"Bldg 133 EF, Basement",224-610-7002  224-610-7003,Endocrine,www.lovell.fhcc
2072,"Our mission is to provide TRICARE beneficiaries with high-quality, comprehensive, patient-centered healthcare in an empathetic, efficient and professional manner.",/services/Family_Practice.asp,"Bldg. 133-EF, 1st Floor",800-941-4501  847-688-1900,Family Practice,www.lovell.fhcc
2073,Fleet Medicine oversees the medical readiness for U.S. Navy Recruit Training Command.,/services/Fleet_Medicine.asp,East Campus,224-610-3327,Fleet Medicine,www.lovell.fhcc
2074,"Since World War I, more than 142,000 Americans, including 85 women, have been captured and interned as POWs.",/services/Former_Prisoner_of_War_Advocate.asp,Captain James A. Lovell FHCC,224-610-5745,Former Prisoner of War Advocate,www.lovell.fhcc
2075,"The Gastroenterology Section provides full GI service including diagnostic and therapeutic endoscopy; EGDs, colonoscopies, and ERCPs.",/services/Gastroenterology.asp,"Bldg 133, 3rd floor",224-610-5537,Gastroenterology,www.lovell.fhcc
2076,General Surgery,/services/General_Surgery.asp,"Bldg. 133 EF, Second Level",224-610-8026  224-610-8024,General Surgery,www.lovell.fhcc
2077,The Hematology/Oncology Section provides consultative services to all beneficiary categories for wide variety of conditions.,/services/Hematology_Oncology.asp,"Bldg. 133, 3rd floor",224-610-5447,Hematology/Oncology,www.lovell.fhcc
2078,The Walk-In Center for Homeless Veterans addresses the immediate and emergency housing needs of Veterans that are homeless or at risk of becoming homeless.,/services/HomelessVeterans_WalkInCenter.asp,"Building 133CA, Room 1D-121",224-610-1148  224-588-0009,Homeless Veterans Walk-In Center,www.lovell.fhcc
2079,Healthcare that focuses on relieving and preventing the suffering of patients.,/services/HospicePalliativeandRehabilitationUnit.asp,Bldg. 134,224-226-6369,Hospice Palliative and Rehabilitation Unit,www.lovell.fhcc
2080,"Performs outpatient and inpatient studies in the following modalities:  General Radiology, CT, MRI, Ultrasound, Nuclear Medicine, Mammography, Bone Density-Dexascan.",/services/Imaging.asp,"Main Imaging 133CA 2D, Womens Imaging 133EF Rm. 318",224-610-4346  224-610-7647,Imaging Service,www.lovell.fhcc
2081,Immunization Clinic,/services/Immunization.asp,"Bldg. 133 EF, Ground Level",224-610-7781,Immunization Clinic,www.lovell.fhcc
2082,Infectious Disease,/services/Infectious_Disease.asp,"Bldg 133 EF, Basement",224-610-7002  224-610-7003,Infectious Disease,www.lovell.fhcc
2083,"High-quality, comprehensive, patient-centered healthcare to TRICARE beneficiaries ages 18 years and older in an empathetic, efficient and professional manner",/services/Internal_Medicine.asp,"Bldg. 133-EF, 1st Floor",800-941-4501  847-688-1900,Internal Medicine,www.lovell.fhcc
2084,Life Skills - Mental Health,/services/Life_Skills_Mental_Health.asp,"Bldg. 133 EF, Third Level",224-610-5945  224-610-5946,Life Skills - Mental Health,www.lovell.fhcc
2085,Managed Care,/services/Managed_Care.asp,"Bldg 133 EF, Third Level",224-610-8603 Ext. 88604  224-610-8608 Ext. 84758,Managed Care,www.lovell.fhcc
2086,"Mental health services for Veterans, active duty military members and their dependents, or TRICARE beneficiaries.",/services/Mental_Health_Clinic.asp,Bldg 133EF 3rd Floor,224-610-3744,Mental Health Clinic,www.lovell.fhcc
2087,"To ensure all Veterans receive equal service regardless of race, origin, religion, or gender.",/services/Minority_Veterans_Program.asp,Bldg 133,224-610-5744,Minority Veterans Program,www.lovell.fhcc
2088,The Nephrology Section provides evaluation and treatment of patients with acute and chronic kidney diseases.,/services/Nephrology.asp,"Bldg. 133 EF, Room BE 201 Basement",224-610-7003,Nephrology,www.lovell.fhcc
2089,Neurology,/services/Neurology.asp,"Bldg 133 EF, Second Level",224-610-8141  224-610-8143,Neurology,www.lovell.fhcc
2090,Nurse Advice Line- TRICARE,/services/Nurse_Advice_Line_TRICARE.asp,Captain James A. Lovell Federal Health Care Center,800-874-2273 Ext. Option 1,Nurse Advice Line - TRICARE DoD,www.lovell.fhcc
2091,Nurse Advice Line- Veteran,/services/Nurse_Advice_Line_Veteran.asp,Captain James A. Lovell Federal Health Care Center,888-598-7793 Ext. 82920,Nurse Advice Line - Veteran,www.lovell.fhcc
